Score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1409,WAS,BUF,DAL,PHI,CIN,JAX,SEA,BLT,CLV,LAC,MIA,NO,PIT,NYJ,TEN,KC,NYG,SF
1409,WAS,NYG,JAX,SF,CIN,MIA,SEA,BUF,CLV,LAC,DET,DAL,NYJ,BLT,PIT,KC,PHI,NO
1409,WAS,NYG,DAL,SF,CIN,MIA,SEA,BUF,CLV,LAC,DET,JAX,NYJ,BLT,PIT,KC,PHI,NO
1409,WAS,NYG,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,MIA,NO,NYJ,BLT,PIT,KC,PHI,DEN
1409,WAS,BUF,DAL,PHI,CIN,JAX,SEA,BLT,CLV,LAC,MIA,NO,PIT,NYJ,TEN,KC,NYG,SF
1408,BLT,DEN,DAL,PHI,CIN,JAX,SEA,BUF,CLV,NE,MIA,NO,PIT,NYJ,LAC,KC,NYG,SF
1408,WAS,BUF,DAL,LAC,PHI,JAX,SEA,BLT,CLV,CIN,MIA,TEN,PIT,NYJ,GB,KC,NYG,SF
1408,BLT,NYG,JAX,SF,CIN,LAR,SEA,BUF,CLV,NE,MIA,DAL,PIT,NYJ,LAC,KC,PHI,NO
1408,WAS,BUF,DAL,SF,CIN,JAX,SEA,LAC,NE,PIT,MIA,TEN,NYJ,BLT,CLV,KC,PHI,NO
1408,WAS,BUF,DAL,PHI,CIN,JAX,SEA,BLT,CLV,LAC,MIA,TEN,NYJ,NO,PIT,KC,NYG,SF
1407,BLT,DEN,DAL,SF,PHI,JAX,SEA,BUF,CLV,LAC,MIA,TEN,NYJ,CIN,PIT,KC,NYG,NO
1407,WAS,BUF,KC,SF,PHI,JAX,SEA,DAL,CLV,CIN,MIA,TEN,PIT,BLT,LAC,NYJ,NYG,NO
1407,WAS,NYG,DAL,LAC,CIN,LAR,SEA,BUF,CLV,PIT,MIA,JAX,NYJ,BLT,TEN,KC,PHI,SF
1407,BLT,DEN,DAL,LAC,PHI,JAX,SEA,BUF,CLV,CIN,MIA,NO,PIT,NYJ,TEN,KC,NYG,SF
1407,WAS,BUF,DAL,PHI,CIN,MIA,SEA,LAC,CLV,NE,SF,JAX,NYJ,BLT,PIT,KC,NYG,NO
1407,WAS,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,KC,PIT,NYJ,TEN,CHI,PHI,NO
1407,WAS,BUF,DAL,LAC,PHI,JAX,SEA,BLT,CLV,PIT,MIA,NO,NYJ,CIN,TEN,KC,NYG,SF
1407,BLT,DEN,CIN,SF,PHI,JAX,SEA,BUF,NE,LAC,MIA,DAL,PIT,NYJ,CLV,KC,NYG,NO
1407,WAS,SF,DAL,LAC,PHI,JAX,SEA,BUF,CLV,CIN,MIA,TEN,NYJ,BLT,PIT,KC,NYG,NO
